feature,importance_gain_mean,importance_gain_std,selected_in_n_folds
euc_elem_1577,0.4697101950645447,0.9394203901290894,1
euc_elem_1260,0.468615198135376,0.937230396270752,1
cos_elem_623,0.4659287929534912,0.9318575859069824,1
euc_elem_538,0.4658545970916748,0.9317091941833495,1
cos_elem_525,0.4656390011310577,0.9312780022621154,1
euc_elem_1663,0.463687002658844,0.927374005317688,1
euc_elem_1985,0.4630545973777771,0.9261091947555542,1
cos_elem_541,0.46295499205589297,0.9259099841117859,1
cos_elem_1036,0.46046838760375974,0.9209367752075196,1
cos_elem_1865,0.4603647977113724,0.9207295954227448,1
cos_elem_931,0.45745939016342163,0.9149187803268433,1
cos_elem_1349,0.4545523777604103,0.9091047555208206,1
euc_elem_1904,0.4537407994270325,0.907481598854065,1
euc_elem_1329,0.4490210056304932,0.8980420112609864,1
euc_elem_1740,0.4471060037612915,0.894212007522583,1
euc_elem_456,0.4461758077144623,0.8923516154289246,1
euc_elem_2509,0.445783394575119,0.891566789150238,1
euc_elem_1227,0.4456095933914185,0.8912191867828368,1
cos_elem_505,0.4442790150642395,0.888558030128479,1
cos_elem_126,0.4441239833831787,0.8882479667663574,1
cos_elem_280,0.44358479380607607,0.887169587612152,1
cos_elem_2126,0.44198859333992,0.88397718667984,1
euc_elem_3164,0.4377195954322815,0.875439190864563,1
cos_elem_1753,0.4375939846038818,0.8751879692077636,1
euc_elem_2654,0.4358927756547928,0.8717855513095856,1
cos_elem_345,0.4291450023651123,0.8582900047302247,1
cos_elem_2012,0.4289136052131653,0.8578272104263307,1
euc_elem_1299,0.4276494026184082,0.8552988052368166,1
euc_elem_591,0.42685019969940186,0.8537003993988037,1
euc_elem_303,0.426095187664032,0.852190375328064,1
euc_elem_2805,0.42543819546699524,0.8508763909339905,1
cos_elem_3241,0.4250579833984375,0.850115966796875,1
cos_elem_2734,0.4237238049507141,0.8474476099014282,1
euc_elem_844,0.41915298998355865,0.8383059799671173,1
euc_elem_1864,0.418146601319313,0.836293202638626,1
cos_elem_2066,0.41579180359840395,0.8315836071968079,1
cos_elem_1337,0.4137299954891205,0.827459990978241,1
cos_elem_2384,0.41328059434890746,0.8265611886978149,1
cos_elem_1137,0.41087319850921633,0.8217463970184327,1
euc_elem_1230,0.41068979501724245,0.821379590034485,1
euc_elem_1223,0.4080878019332886,0.8161756038665773,1
euc_elem_2559,0.4058795988559723,0.8117591977119446,1
cos_elem_2916,0.40581299662590026,0.8116259932518005,1
euc_elem_1989,0.40486578941345214,0.8097315788269043,1
euc_elem_1707,0.40342819690704346,0.8068563938140869,1
euc_elem_3309,0.4013497918844223,0.8026995837688446,1
cos_elem_2774,0.40117959678173065,0.8023591935634612,1
euc_elem_2899,0.3990660130977631,0.7981320261955261,1
euc_elem_2089,0.39330660104751586,0.7866132020950317,1
euc_elem_3252,0.3930655956268311,0.7861311912536623,1
cos_elem_1594,0.39118300676345824,0.7823660135269165,1
cos_elem_1688,0.38975459337234497,0.7795091867446899,1
cos_elem_965,0.3896733999252319,0.7793467998504638,1
euc_elem_2139,0.38957139253616335,0.7791427850723266,1
cos_elem_615,0.38793060183525085,0.7758612036705017,1
cos_elem_1465,0.3874423921108246,0.7748847842216493,1
euc_elem_2820,0.38720119893550875,0.7744023978710175,1
cos_elem_408,0.38691039085388185,0.7738207817077637,1
euc_elem_909,0.3825554013252258,0.7651108026504515,1
cos_elem_1906,0.38083184957504274,0.7616636991500855,1
cos_elem_2532,0.38007800579071044,0.7601560115814209,1
euc_elem_2994,0.3752921998500824,0.7505843997001648,1
cos_elem_2848,0.3747731924057007,0.7495463848114013,1
euc_elem_3194,0.3717604041099548,0.7435208082199095,1
cos_elem_278,0.3713840007781982,0.7427680015563964,1
cos_elem_395,0.3665943920612335,0.733188784122467,1
cos_elem_2058,0.36520721316337584,0.7304144263267517,1
euc_elem_1798,0.3651254057884216,0.7302508115768434,1
cos_elem_71,0.3642438054084778,0.7284876108169556,1
euc_elem_3293,0.36402279138565063,0.7280455827713013,1
cos_elem_29,0.3624963998794556,0.7249927997589112,1
euc_elem_2344,0.36110999584198,0.7222199916839599,1
cos_elem_2016,0.36098960041999817,0.7219792008399963,1
euc_elem_3159,0.36010739803314207,0.720214796066284,1
euc_elem_2388,0.36009399890899657,0.7201879978179931,1
cos_elem_1845,0.358787989616394,0.717575979232788,1
cos_elem_3108,0.3583802044391632,0.7167604088783264,1
cos_elem_1558,0.3559628129005432,0.7119256258010864,1
euc_elem_1487,0.35461699962615967,0.7092339992523193,1
euc_elem_1189,0.3542873978614807,0.7085747957229614,1
euc_elem_1037,0.353699392080307,0.707398784160614,1
cos_elem_2281,0.3527000069618225,0.705400013923645,1
cos_elem_2628,0.3513099908828735,0.702619981765747,1
euc_elem_26,0.35073399543762207,0.7014679908752441,1
euc_elem_258,0.35042120814323424,0.7008424162864684,1
cos_elem_2519,0.3501952052116394,0.7003904104232788,1
cos_elem_2817,0.3469032049179077,0.6938064098358154,1
cos_elem_2522,0.34524199962615965,0.6904839992523192,1
cos_elem_2014,0.3421884000301361,0.6843768000602724,1
euc_elem_554,0.3417081952095032,0.6834163904190064,1
cos_elem_1502,0.340679395198822,0.681358790397644,1
cos_elem_3162,0.3374394059181213,0.6748788118362427,1
euc_elem_2730,0.33619399070739747,0.6723879814147948,1
